id,Venue,Venue Category,Zip,Venue Latitude,Venue Longitude,Price Point,Business Status,Population,Population Density,Total Housing Units,Occupied Housing Units,Avaliable Housing Units,Median Home Value
0,Louisiana Famous Fried Chicken,Fried Chicken Joint,77002,29.748251,-95.370186,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
1,Your Pie,Pizza Place,77002,29.75177,-95.3686,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
2,Pappas Bar-B-Q,BBQ Joint,77002,29.7482711,-95.3685065,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
3,Zydeco Louisiana Diner,Cajun / Creole Restaurant,77002,29.7509571,-95.36738192,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
4,Nara Express,Thai Restaurant,77002,29.74753569144,-95.37075714667665,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
5,Starbucks,Coffee Shop,77002,29.748771,-95.374428,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
6,Starbucks,Coffee Shop,77002,29.74763306735804,-95.36681086302278,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
7,Starbucks,Coffee Shop,77002,29.750396000000002,-95.374605,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
8,SUBWAY,Sandwich Place,77002,29.74778,-95.36611500000001,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
9,Lone Star Saloon,Dive Bar,77002,29.750716447183592,-95.37136989399319,1,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
10,Burger Theory,Burger Joint,77002,29.7519517383174,-95.3691423659771,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
11,Nit Noi Cafe,Thai Restaurant,77002,29.75069094077945,-95.37416025776531,2,OPERATIONAL,16793.0,8320.0,3757.0,3080.0,677.0,208600.0
12,Pitch 25 Beer Park,Bar,77003,29.75168775951742,-95.35466790845334,2,CLOSED_TEMPORARILY,10508.0,4144.0,4713.0,3894.0,819.0,162600.0
13,King's Court Bar and Kitchen,Indian Restaurant,77003,29.751209,-95.35396,2,OPERATIONAL,10508.0,4144.0,4713.0,3894.0,819.0,162600.0
14,Kaffeine Coffee & Internet Cafe,Coffee Shop,77004,29.72223065791607,-95.37875051253742,1,OPERATIONAL,32692.0,5660.0,16618.0,12802.0,3816.0,191700.0
15,Bar 5015,Bar,77004,29.723891900531125,-95.37823071859555,2,CLOSED_TEMPORARILY,32692.0,5660.0,16618.0,12802.0,3816.0,191700.0
16,Denny's,Breakfast Spot,77004,29.72124260626981,-95.3762061056114,1,OPERATIONAL,32692.0,5660.0,16618.0,12802.0,3816.0,191700.0
17,Crave Cupcakes,Cupcake Shop,77005,29.722047443367916,-95.41855340440935,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
18,Chipotle Mexican Grill,Mexican Restaurant,77005,29.721896775927558,-95.4189828183791,1,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
19,Big Easy Social & Pleasure Club,Dive Bar,77005,29.72084531045697,-95.41828650998679,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
20,Benjy's,New American Restaurant,77005,29.719455798552747,-95.41636622336436,2,CLOSED_TEMPORARILY,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
21,Local Foods,Café,77005,29.719504582518613,-95.41654692467382,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
22,Ben & Jerry's,Ice Cream Shop,77005,29.7225017,-95.4182868,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
23,Fellini Caffè,Coffee Shop,77005,29.718539385345593,-95.41672651623777,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
24,Seco's Latin Cuisine,Mexican Restaurant,77005,29.722382454329306,-95.41819565446201,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
25,Fajitas A Go Go,Tex-Mex Restaurant,77005,29.723807061347067,-95.41891631165149,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
26,Brown Bag Deli,Deli / Bodega,77005,29.7161019819653,-95.41797972248658,1,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
27,Zoës Kitchen,Mediterranean Restaurant,77005,29.718267431524,-95.41682702282411,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
28,Helen Greek Food and Wine,Greek Restaurant,77005,29.71726101775787,-95.41610394226802,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
29,Croissant-Brioche,Bakery,77005,29.717401122561448,-95.4162943067631,2,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
30,Coppa Osteria,Italian Restaurant,77005,29.71879749392952,-95.41509451172917,3,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
31,The Teahouse Tapioca & Tea,Bubble Tea Shop,77005,29.71767734546914,-95.4175259507976,1,OPERATIONAL,25528.0,6639.0,10299.0,9548.0,751.0,754000.0
32,Siphon Coffee,Coffee Shop,77006,29.738449636601256,-95.38823130871091,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0
33,Starbucks,Coffee Shop,77006,29.742142,-95.39064,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0
34,"Snooze, an A.M. Eatery",Breakfast Spot,77006,29.743687009092522,-95.39110186180008,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0
35,Light Years Natural Wine Shop and Bar,Wine Bar,77006,29.738934,-95.394927,2,OPERATIONAL,19664.0,8720.0,13602.0,11809.0,1793.0,327300.0
36,Siphon Coffee,Coffee Shop,75033,29.738449636601256,-95.38823130871091,2,OPERATIONAL,,,,,,
37,Starbucks,Coffee Shop,75033,29.742142,-95.39064,2,OPERATIONAL,,,,,,
38,"Snooze, an A.M. Eatery",Breakfast Spot,75033,29.743687009092522,-95.39110186180008,2,OPERATIONAL,,,,,,
39,Light Years Natural Wine Shop and Bar,Wine Bar,75033,29.738934,-95.394927,2,OPERATIONAL,,,,,,
