ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2018,"2018",97814,3563,"Anne Arundel County, MD","05000US24003","anne-arundel-county-md"
2018,"2018",80469,1032,"Baltimore-Columbia-Towson, MD","31000US12580","baltimore-towson-md-metro-area"
2018,"2018",76182,2205,"Baltimore County, MD","05000US24005","baltimore-county-md"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",51000,1530,"Baltimore city, MD","05000US24510","baltimore-city-md"
2018,"2018",83242,1022.0000000000001,"Maryland","04000US24","maryland"
2017,"2017",97085,3840.0000000000005,"Anne Arundel County, MD","05000US24003","anne-arundel-county-md"
2017,"2017",77394,1431,"Baltimore-Columbia-Towson, MD","31000US12580","baltimore-towson-md-metro-area"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",80776,707,"Maryland","04000US24","maryland"
2017,"2017",47131,1583,"Baltimore city, MD","05000US24510","baltimore-city-md"
2017,"2017",73805,2827,"Baltimore County, MD","05000US24005","baltimore-county-md"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",78945,737,"Maryland","04000US24","maryland"
2016,"2016",76788,1312,"Baltimore-Columbia-Towson, MD","31000US12580","baltimore-towson-md-metro-area"
2016,"2016",72764,2308,"Baltimore County, MD","05000US24005","baltimore-county-md"
2016,"2016",47350,1792.9999999999998,"Baltimore city, MD","05000US24510","baltimore-city-md"
2016,"2016",96483,3531.0000000000005,"Anne Arundel County, MD","05000US24003","anne-arundel-county-md"
2015,"2015",68775,2630,"Baltimore County, MD","05000US24005","baltimore-county-md"
2015,"2015",44165,2247,"Baltimore city, MD","05000US24510","baltimore-city-md"
2015,"2015",91230,2067,"Anne Arundel County, MD","05000US24003","anne-arundel-county-md"
2015,"2015",75847,591,"Maryland","04000US24","maryland"
2015,"2015",72520,883,"Baltimore-Columbia-Towson, MD","31000US12580","baltimore-towson-md-metro-area"
2015,"2015",55775,85,"United States","01000US","united-states"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",42665,2198,"Baltimore city, MD","05000US24510","baltimore-city-md"
2014,"2014",68257,2555,"Baltimore County, MD","05000US24005","baltimore-county-md"
2014,"2014",87217,2986,"Anne Arundel County, MD","05000US24003","anne-arundel-county-md"
2014,"2014",71501,1015,"Baltimore-Columbia-Towson, MD","31000US12580","baltimore-towson-md-metro-area"
2014,"2014",73971,867,"Maryland","04000US24","maryland"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",86230,2655,"Anne Arundel County, MD","05000US24003","anne-arundel-county-md"
2013,"2013",64795,2089,"Baltimore County, MD","05000US24005","baltimore-county-md"
2013,"2013",42266,1216,"Baltimore city, MD","05000US24510","baltimore-city-md"
2013,"2013",72483,718,"Maryland","04000US24","maryland"
2013,"2013",68455,1082,"Baltimore-Columbia-Towson, MD","31000US12580","baltimore-towson-md-metro-area"
