ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2018,"2018",60629,279,"Texas","04000US48","texas"
2018,"2018",65394,823,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-sugar-land-baytown-tx-metro-area"
2018,"2018",60232,813,"Harris County, TX","05000US48201","harris-county-tx"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",51203,903.9999999999999,"Houston, TX","16000US4835000","houston-tx"
2018,"2018",91931,2956,"Fort Bend County, TX","05000US48157","fort-bend-county-tx"
2018,"2018",76929,3106,"Montgomery County, TX","05000US48339","montgomery-county-tx"
2017,"2017",63802,1095,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-sugar-land-baytown-tx-metro-area"
2017,"2017",59206,489.99999999999994,"Texas","04000US48","texas"
2017,"2017",50896,727,"Houston, TX","16000US4835000","houston-tx"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",76811,2526,"Montgomery County, TX","05000US48339","montgomery-county-tx"
2017,"2017",90845,4185,"Fort Bend County, TX","05000US48157","fort-bend-county-tx"
2017,"2017",58645,1340,"Harris County, TX","05000US48201","harris-county-tx"
2016,"2016",56565,300,"Texas","04000US48","texas"
2016,"2016",61708,615,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-sugar-land-baytown-tx-metro-area"
2016,"2016",56377,770,"Harris County, TX","05000US48201","harris-county-tx"
2016,"2016",47793,1185,"Houston, TX","16000US4835000","houston-tx"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",71123,3408.9999999999995,"Montgomery County, TX","05000US48339","montgomery-county-tx"
2016,"2016",90680,2488,"Fort Bend County, TX","05000US48157","fort-bend-county-tx"
2015,"2015",95389,4332,"Fort Bend County, TX","05000US48157","fort-bend-county-tx"
2015,"2015",56629,860.9999999999999,"Harris County, TX","05000US48201","harris-county-tx"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",61465,548,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-sugar-land-baytown-tx-metro-area"
2015,"2015",71577,3012,"Montgomery County, TX","05000US48339","montgomery-county-tx"
2015,"2015",48064,1178,"Houston, TX","16000US4835000","houston-tx"
2015,"2015",55653,314,"Texas","04000US48","texas"
2014,"2014",45460,908.0000000000001,"Houston, TX","16000US4835000","houston-tx"
2014,"2014",70243,3273,"Montgomery County, TX","05000US48339","montgomery-county-tx"
2014,"2014",60072,664,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-sugar-land-baytown-tx-metro-area"
2014,"2014",87973,5196,"Fort Bend County, TX","05000US48157","fort-bend-county-tx"
2014,"2014",54178,971,"Harris County, TX","05000US48201","harris-county-tx"
2014,"2014",53035,377,"Texas","04000US48","texas"
2014,"2014",53657,93,"United States","01000US","united-states"
2013,"2013",52489,807,"Harris County, TX","05000US48201","harris-county-tx"
2013,"2013",57366,726,"Houston-The Woodlands-Sugar Land, TX","31000US26420","houston-sugar-land-baytown-tx-metro-area"
2013,"2013",45353,998.0000000000001,"Houston, TX","16000US4835000","houston-tx"
2013,"2013",88023,3770,"Fort Bend County, TX","05000US48157","fort-bend-county-tx"
2013,"2013",51704,238,"Texas","04000US48","texas"
2013,"2013",68428,3641,"Montgomery County, TX","05000US48339","montgomery-county-tx"
2013,"2013",52250,65,"United States","01000US","united-states"
