ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2018,"2018",64427,887,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-glendale-az-metro-area"
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",57957,1430,"Phoenix, AZ","16000US0455000","phoenix-az"
2018,"2018",59246,732,"Arizona","04000US04","arizona"
2018,"2018",65252,806,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2017,"2017",61506,523,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-glendale-az-metro-area"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",56696,959,"Phoenix, AZ","16000US0455000","phoenix-az"
2017,"2017",56581,516,"Arizona","04000US04","arizona"
2017,"2017",62223,528,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2016,"2016",58075,803,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-glendale-az-metro-area"
2016,"2016",58737,865.0000000000001,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2016,"2016",52062,943,"Phoenix, AZ","16000US0455000","phoenix-az"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",53558,634,"Arizona","04000US04","arizona"
2015,"2015",51492,431,"Arizona","04000US04","arizona"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",48452,1719,"Phoenix, AZ","16000US0455000","phoenix-az"
2015,"2015",55547,674,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-glendale-az-metro-area"
2015,"2015",56004,681,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2014,"2014",53896,933,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",47929,1373,"Phoenix, AZ","16000US0455000","phoenix-az"
2014,"2014",50068,482.99999999999994,"Arizona","04000US04","arizona"
2014,"2014",53365,860.0000000000001,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-glendale-az-metro-area"
2013,"2013",51847,515,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-glendale-az-metro-area"
2013,"2013",52045,553,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2013,"2013",48510,587,"Arizona","04000US04","arizona"
2013,"2013",46601,1061,"Phoenix, AZ","16000US0455000","phoenix-az"
2013,"2013",52250,65,"United States","01000US","united-states"
