ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2017,"2017",42356,832,"Richmond City PUMA, VA","79500US5151235","richmond-city-puma-va"
2017,"2017",78242,1906,"Tuckahoe, Short Pump & Wyndham PUMA, VA","79500US5151225","tuckahoe-short-pump-&-wyndham-puma-va"
2017,"2017",56126,2136,"Highland Springs, East Highland Park & Glen Allen PUMA, VA","79500US5151224","highland-springs-east-highland-park-&-glen-allen-puma-va"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",62355,1703,"James River Region PUMA, VA","79500US5104101","james-river-region-puma-va"
2017,"2017",63599,710,"Richmond, VA","31000US40060","richmond-va-metro-area"
2017,"2017",42356,832,"Richmond city, VA","05000US51760","richmond-city-va"
2017,"2017",68766,319,"Virginia","04000US51","virginia"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",66149,285,"Virginia","04000US51","virginia"
2016,"2016",61124,525,"Richmond, VA","31000US40060","richmond-va-metro-area"
2016,"2016",41187,737,"Richmond city, VA","05000US51760","richmond-city-va"
2016,"2016",61781,1758.0000000000002,"James River Region PUMA, VA","79500US5104101","james-river-region-puma-va"
2016,"2016",53921,1914,"Highland Springs, East Highland Park & Glen Allen PUMA, VA","79500US5151224","highland-springs-east-highland-park-&-glen-allen-puma-va"
2016,"2016",74509,1661,"Tuckahoe, Short Pump & Wyndham PUMA, VA","79500US5151225","tuckahoe-short-pump-&-wyndham-puma-va"
2016,"2016",41187,737,"Richmond City PUMA, VA","79500US5151235","richmond-city-puma-va"
2015,"2015",59919,647,"Richmond, VA","31000US40060","richmond-va-metro-area"
2015,"2015",52555,1590,"Highland Springs, East Highland Park & Glen Allen PUMA, VA","79500US5151224","highland-springs-east-highland-park-&-glen-allen-puma-va"
2015,"2015",72453,1924,"Tuckahoe, Short Pump & Wyndham PUMA, VA","79500US5151225","tuckahoe-short-pump-&-wyndham-puma-va"
2015,"2015",40758,778,"Richmond City PUMA, VA","79500US5151235","richmond-city-puma-va"
2015,"2015",60853,1928,"James River Region PUMA, VA","79500US5104101","james-river-region-puma-va"
2015,"2015",65015,270,"Virginia","04000US51","virginia"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",40758,778,"Richmond city, VA","05000US51760","richmond-city-va"
2014,"2014",41331,939,"Richmond City PUMA, VA","79500US5151235","richmond-city-puma-va"
2014,"2014",41331,939,"Richmond city, VA","05000US51760","richmond-city-va"
2014,"2014",59677,496.99999999999994,"Richmond, VA","31000US40060","richmond-va-metro-area"
2014,"2014",60748,1807,"James River Region PUMA, VA","79500US5104101","james-river-region-puma-va"
2014,"2014",52330,1280,"Highland Springs, East Highland Park & Glen Allen PUMA, VA","79500US5151224","highland-springs-east-highland-park-&-glen-allen-puma-va"
2014,"2014",64792,274,"Virginia","04000US51","virginia"
2014,"2014",71432,1705.0000000000002,"Tuckahoe, Short Pump & Wyndham PUMA, VA","79500US5151225","tuckahoe-short-pump-&-wyndham-puma-va"
2014,"2014",53482,95,"United States","01000US","united-states"
2013,"2013",53046,89,"United States","01000US","united-states"
2013,"2013",58891,626,"Richmond, VA","31000US40060","richmond-va-metro-area"
2013,"2013",63907,248,"Virginia","04000US51","virginia"
2013,"2013",52316,1134,"Highland Springs, East Highland Park & Glen Allen PUMA, VA","79500US5151224","highland-springs-east-highland-park-&-glen-allen-puma-va"
2013,"2013",70853,1703,"Tuckahoe, Short Pump & Wyndham PUMA, VA","79500US5151225","tuckahoe-short-pump-&-wyndham-puma-va"
2013,"2013",40496,963,"Richmond City PUMA, VA","79500US5151235","richmond-city-puma-va"
2013,"2013",40496,963,"Richmond city, VA","05000US51760","richmond-city-va"
2013,"2013",60491,2561,"James River Region PUMA, VA","79500US5104101","james-river-region-puma-va"
