id,Venue,Venue Category,Zip,Venue Latitude,Venue Longitude,Price Point,Business Status,Population,Population Density,Total Housing Units,Occupied Housing Units,Avaliable Housing Units,Median Home Value
0,State 48 Brewery,Brewery,85003,33.45117830535376,-112.07882043150451,2,OPERATIONAL,9369,5061.0,4910,3900,1010,260500
1,Harumi Sushi,Sushi Restaurant,85003,33.44978473007905,-112.0752761192183,2,OPERATIONAL,9369,5061.0,4910,3900,1010,260500
2,The Kettle Black,Pub,85004,33.448468259967434,-112.07245139944732,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
3,Bar Smith,Bar,85004,33.44846801220561,-112.07179821535779,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
4,Cornish Pasty Co,Pub,85004,33.45022618478677,-112.07410878005035,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
5,Pizzeria Bianco,Pizza Place,85004,33.44926073344454,-112.06564709544182,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
6,The Arrogant Butcher,American Restaurant,85004,33.447354225134795,-112.07263224789942,2,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
7,Starbucks,Coffee Shop,85004,33.45209,-112.0693,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
8,Cartel Coffee Lab,Coffee Shop,85004,33.44844199084979,-112.07247794227017,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
9,Bitter & Twisted Cocktail Parlour,Cocktail Bar,85004,33.4472043295837,-112.07389668587766,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
10,Breakfast Club,Breakfast Spot,85004,33.4473359,-112.0734243,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
11,Nobuo at Teeter House,Japanese Restaurant,85004,33.44964893648305,-112.0656121302771,3,OPERATIONAL,4965,2434.0,2804,2195,609,205200
12,Monroe’s Hot Chicken,Fried Chicken Joint,85004,33.447042,-112.073328,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
13,TOM YUM,Thai Restaurant,85004,33.44958039979038,-112.07390250157835,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
14,Fired Pie,Pizza Place,85004,33.44742253720167,-112.07125289105429,1,OPERATIONAL,4965,2434.0,2804,2195,609,205200
15,Harumi Sushi,Sushi Restaurant,85004,33.44978473007905,-112.0752761192183,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
16,Starbucks,Coffee Shop,85004,33.449281424808,-112.07269261494507,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
17,Lustre Rooftop Bar,Cocktail Bar,85004,33.447517,-112.072799,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
18,Province Urban Kitchen & Bar,American Restaurant,85004,33.45162983860172,-112.07346134068716,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
19,Chick-fil-A,Fast Food Restaurant,85004,33.4536187,-112.0715447,1,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
20,Blue Hound Kitchen & Cocktails,New American Restaurant,85004,33.44744684287623,-112.0733168721199,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
21,District American Kitchen & Wine Bar,American Restaurant,85004,33.45168577327582,-112.0700448169049,2,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
22,Compass Arizona Grill,American Restaurant,85004,33.44982001883171,-112.07175467196176,3,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
23,Bar Bianco,Wine Bar,85004,33.4492534911461,-112.06589365484314,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
24,Potbelly Sandwich Shop,Sandwich Place,85004,33.44782391102811,-112.07276906245613,1,OPERATIONAL,4965,2434.0,2804,2195,609,205200
25,La Piazza Locale,Pizza Place,85004,33.44852029247839,-112.07251035395959,2,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
26,Vegan House,Vegetarian / Vegan Restaurant,85004,33.44932247702329,-112.07434198935415,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
27,Squid Ink Sushi Bar,Sushi Restaurant,85004,33.447531645339865,-112.07382476038019,2,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
28,Starbucks,Coffee Shop,85004,33.44791375,-112.0746959,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
29,Cold Stone Creamery,Ice Cream Shop,85004,33.452751,-112.068705,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
30,Melinda's Alley,Speakeasy,85004,33.44968864029825,-112.07368633658763,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
31,Chipotle Mexican Grill,Mexican Restaurant,85004,33.448060056270165,-112.07443803548813,1,OPERATIONAL,4965,2434.0,2804,2195,609,205200
32,Thai Basil,Thai Restaurant,85004,33.44927853854385,-112.07514603034988,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
33,Spoonz Cafe,American Restaurant,85004,33.4491894208204,-112.07453030456055,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
34,Noodle Bar,Noodle House,85004,33.44950027813996,-112.07512904765731,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
35,The Strand Urban Italian,Italian Restaurant,85004,33.44738687917363,-112.072655277565,2,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
36,Starbucks,Coffee Shop,85004,33.44659354572787,-112.07189206525489,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
37,Chico Malo,Mexican Restaurant,85004,33.447557724345735,-112.0739383880599,2,CLOSED_TEMPORARILY,4965,2434.0,2804,2195,609,205200
38,Dunkin',Donut Shop,85004,33.44948462030617,-112.07400496615276,1,OPERATIONAL,4965,2434.0,2804,2195,609,205200
39,Pizza Hut,Pizza Place,85004,33.4510721,-112.0747304,1,OPERATIONAL,4965,2434.0,2804,2195,609,205200
40,Starbucks,Coffee Shop,85004,33.45350611732141,-112.07229137583361,2,OPERATIONAL,4965,2434.0,2804,2195,609,205200
41,La Santisima,Taco Place,85006,33.46918874398563,-112.04750238020904,2,OPERATIONAL,25742,6595.0,10183,8565,1618,112700
42,Guanaquito,Restaurant,85006,33.46594469705171,-112.05064343727203,1,OPERATIONAL,25742,6595.0,10183,8565,1618,112700
43,Smooth Brew,Café,85006,33.46555200358774,-112.04998988972257,1,OPERATIONAL,25742,6595.0,10183,8565,1618,112700
44,Royale,Bar,85006,33.473138728256785,-112.04801735694129,1,OPERATIONAL,25742,6595.0,10183,8565,1618,112700
45,Taco Mich,Taco Place,85006,33.46611574639165,-112.04747232162667,1,OPERATIONAL,25742,6595.0,10183,8565,1618,112700
46,Bamboo Bakery,Bakery,85006,33.470811,-112.046685,2,OPERATIONAL,25742,6595.0,10183,8565,1618,112700
47,Guanaquito,Food,85006,33.4657844,-112.0504563,1,OPERATIONAL,25742,6595.0,10183,8565,1618,112700
48,International House of Food,Breakfast Spot,85007,33.451717376708984,-112.0919189453125,1,OPERATIONAL,14040,3110.0,5916,4811,1105,194200
49,International House of Food,American Restaurant,85007,33.451656341552734,-112.0856704711914,1,OPERATIONAL,14040,3110.0,5916,4811,1105,194200
